atom_N,atom_wight,chemi_pot,In_e,out_e,neg(Nm),i_en(Im),aff,radii,C1,C2,N1,N2,N3,H1,H2
40,91.224,-8.547,36,4,1.33,640.1,41.1,206,0,0,0,0,0,1,0
22,47.867,-7.712,18,4,1.54,658.8,7.6,176,0,0,0,0,0,0,1
25,54.938,-9.027,18,7,1.55,717.3,0,161,0,1,0,0,0,0,0
25,54.938,-9.027,18,7,1.55,717.3,0,161,0,0,1,0,0,0,0
26,55.845,-8.308,18,8,1.83,762.5,15.7,156,1,0,0,0,0,0,0
26,55.845,-8.308,18,8,1.83,762.5,15.7,156,0,0,0,0,0,0,1
27,58.933,-7.09,18,9,1.88,760.4,63.7,152,0,0,0,0,1,0,0
27,58.933,-7.09,18,9,1.88,760.4,63.7,152,0,0,0,0,0,1,0
28,58.693,-5.567,18,10,1.91,737.1,112,149,0,0,1,0,0,0,0
29,63.546,-3.716,18,11,1.9,745.5,118.4,145,0,0,0,1,0,0,0
29,63.546,-3.716,18,11,1.9,745.5,118.4,145,0,0,0,0,1,0,0
30,65.38,-1.266,18,12,1.65,906.4,0,142,0,1,0,0,0,0,0
44,101.07,-9.202,36,8,2.2,710.2,101.3,178,1,0,0,0,0,0,0
45,102.91,-7.269,36,9,2.28,719.7,109.7,173,0,0,0,1,0,0,0
45,102.91,-7.269,36,9,2.28,719.7,109.7,173,0,0,0,0,0,1,0
46,106.42,-5.177,36,10,2.2,804.4,53.7,169,0,1,0,0,0,0,0
78,195.08,-6.065,54,24,2.28,870,205.3,177,0,0,1,0,0,0,0
78,195.08,-6.065,54,24,2.28,870,205.3,177,0,0,0,1,0,0,0
5,10.81,-6.091,2,3,2.04,800.6,26.7,87,1,0,0,0,0,0,0
14,28.085,-5.425,10,4,1.9,786.5,133.6,111,0,0,0,0,1,0,0
16,32.06,-3.839,10,6,2.58,999.6,200,88,0,0,0,0,0,0,1
8,15.999,-4.485,2,6,3.44,1313.9,141,48,0,0,0,0,1,0,0
8,15.999,-4.485,2,6,3.44,1313.9,141,48,0,0,0,0,0,1,0
15,30.974,-5.161,10,5,2.19,1011.8,72,98,0,0,0,0,0,1,0
13,26.982,-3.746,10,3,1.61,577.5,42.5,118,0,1,0,0,0,0,0
13,26.982,-3.746,10,3,1.61,577.5,42.5,118,0,0,1,0,0,0,0
3,6.94,-1.907,2,1,0.98,520.2,59.6,167,1,0,0,0,0,0,0
3,6.94,-1.907,2,1,0.98,520.2,59.6,167,0,0,0,0,0,0,1
17,35.45,-1.465,10,7,3.16,1251.2,349,79,0,0,0,1,0,0,0
